make,model,price,mileage
Mercedes-Benz,C 300,"$28,500 ","22,913"
Mercedes-Benz,C 300,"$15,309 ","60,030"
Mercedes-Benz,C 300,"$26,592 ","25,127"
Mercedes-Benz,C 300,"$29,992 ","19,096"
Mercedes-Benz,C 300,"$29,570 ","16,514"
Mercedes-Benz,C 300,"$27,990 ","17,352"
Mercedes-Benz,C 300,"$28,296 ","26,838"
Mercedes-Benz,C 300,"$28,990 ","23,568"
Mercedes-Benz,C 300,"$19,498 ","58,840"
Mercedes-Benz,C 300,"$24,998 ","26,029"
Mercedes-Benz,C 300,"$22,990 ","86,552"
Mercedes-Benz,C 300,"$15,990 ","71,107"
Mercedes-Benz,C 300,"$23,450 ","50,082"
Mercedes-Benz,C 300,"$12,395 ","77,525"
Mercedes-Benz,C 300,"$21,995 ","47,995"
Mercedes-Benz,C 300,"$12,498 ","80,528"
Mercedes-Benz,C 300,"$30,450 ","11,910"
Mercedes-Benz,C 300,"$28,788 ","18,841"
Mercedes-Benz,C 300,"$26,989 ","33,657"
Mercedes-Benz,C 300,"$24,700 ","30,841"
Mercedes-Benz,C 300,"$33,988 ","19,276"
Mercedes-Benz,C 300,"$26,977 ","45,598"
Mercedes-Benz,C 300,"$33,980 ","3,082"
Mercedes-Benz,C 300,"$29,998 ","4,651"
Mercedes-Benz,C 300,"$31,396 ","22,551"
Mercedes-Benz,C 300,"$36,389 ","5,924"
Mercedes-Benz,C 300,"$31,897 ","13,500"
Mercedes-Benz,C 300,"$24,995 ","43,442"
Mercedes-Benz,C 300,"$24,800 ","45,271"
Mercedes-Benz,C 300,"$25,320 ","53,628"
Mercedes-Benz,C 300,"$26,788 ","46,026"
Mercedes-Benz,C 300,"$26,077 ","41,114"
Mercedes-Benz,C 300,"$22,987 ","68,317"
Mercedes-Benz,C 300,"$22,998 ","57,538"
Mercedes-Benz,C 300,"$18,998 ","68,079"
Mercedes-Benz,C 300,"$26,990 ","22,439"
Mercedes-Benz,C 300,"$30,880 ","18,758"
Mercedes-Benz,C 300,"$25,220 ","54,390"
Mercedes-Benz,C 300,"$33,995 ","38,675"
Mercedes-Benz,C 300,"$27,995 ","29,200"
Mercedes-Benz,C 300,"$41,777 ","7,542"
Mercedes-Benz,C 300,"$28,880 ","26,443"
Mercedes-Benz,C 300,"$23,795 ","31,142"
Mercedes-Benz,C 300,"$29,880 ","18,347"
Mercedes-Benz,C 300,"$26,295 ","31,714"
Mercedes-Benz,C 300,"$30,480 ","33,670"
Mercedes-Benz,C 300,"$35,500 ","2,105"
Mercedes-Benz,C 300,"$31,680 ","23,467"
Mercedes-Benz,C 300,"$28,500 ","35,683"
Mercedes-Benz,C 300,"$14,995 ","68,801"
Mercedes-Benz,C 300,"$22,350 ","37,192"
Mercedes-Benz,C 300,"$23,995 ","55,847"
Mercedes-Benz,C 300,"$11,608 ","89,103"
Mercedes-Benz,C 300,"$19,998 ","40,156"
Mercedes-Benz,C 300,"$31,580 ","34,721"
Mercedes-Benz,C 300,"$9,991 ","98,296"
Mercedes-Benz,C 300,"$32,990 ","27,601"
Mercedes-Benz,C 300,"$21,788 ","62,869"
Mercedes-Benz,C 300,"$25,900 ","54,827"
Mercedes-Benz,C 300,"$19,680 ","47,303"
Mercedes-Benz,C 300,"$41,580 ",46
Mercedes-Benz,C 300,"$43,580 ","2,809"
Mercedes-Benz,C 300,"$34,380 ","42,075"
Mercedes-Benz,C 300,"$38,500 ","2,295"
Mercedes-Benz,C 300,"$51,045 ","9,655"
Mercedes-Benz,C 300,"$24,998 ","45,332"
Mercedes-Benz,C 300,"$32,990 ","39,925"
Mercedes-Benz,C 300,"$32,995 ","17,081"
Mercedes-Benz,C 300,"$39,995 ","25,611"
Mercedes-Benz,C 300,"$12,331 ","130,702"
Mercedes-Benz,C 300,"$35,000 ","8,700"
Mercedes-Benz,C 300,"$56,785 ","10,018"
Mercedes-Benz,C 300,"$21,595 ","44,153"
Mercedes-Benz,C 300,"$40,000 ",11
Mercedes-Benz,C 300,"$26,990 ","28,628"